Date,Close,sigma2
2002-11-29,1339.89,0.000157
2002-12-02,1337.34,0.000154
2002-12-03,1317.64,0.000150
2002-12-04,1313.53,0.000182
2002-12-05,1297.80,0.000179
2002-12-06,1305.98,0.000201
2002-12-09,1277.05,0.000179
2002-12-10,1294.91,0.000242
2002-12-11,1295.91,0.000207
2002-12-12,1291.16,0.000194
2002-12-13,1273.83,0.000192
2002-12-16,1303.85,0.000220
2002-12-17,1293.26,0.000186
2002-12-18,1276.36,0.000196
2002-12-19,1266.79,0.000222
2002-12-20,1283.25,0.000230
2002-12-23,1285.60,0.000197
2002-12-24,1278.58,0.000183
2002-12-26,1274.55,0.000186
2002-12-27,1254.65,0.000183
2002-12-30,1260.42,0.000219
2002-12-31,1261.18,0.000198
2003-01-02,1303.17,0.000186
2003-01-03,1302.55,0.000168
2003-01-06,1331.82,0.000160
2003-01-07,1323.17,0.000136
2003-01-08,1304.95,0.000143
2003-01-09,1330.30,0.000171
2003-01-10,1330.29,0.000145
2003-01-13,1328.50,0.000137
2003-01-14,1336.24,0.000133
2003-01-15,1317.18,0.000118
2003-01-16,1312.00,0.000147
2003-01-17,1293.63,0.000148
2003-01-21,1273.31,0.000177
2003-01-22,1260.16,0.000213
2003-01-23,1273.04,0.000229
2003-01-24,1235.84,0.000199
2003-01-27,1215.86,0.000299
2003-01-28,1231.74,0.000339
2003-01-29,1240.31,0.000293
2003-01-30,1212.23,0.000261
2003-01-31,1228.14,0.000331
2003-02-03,1234.78,0.000285
2003-02-04,1217.40,0.000257
2003-02-05,1211.04,0.000288
2003-02-06,1203.58,0.000286
2003-02-07,1191.46,0.000288
2003-02-10,1200.51,0.000303
2003-02-11,1190.83,0.000269
2003-02-12,1176.15,0.000277
2003-02-13,1174.43,0.000301
2003-02-14,1199.61,0.000288
2003-02-18,1223.11,0.000242
2003-02-19,1214.66,0.000204
2003-02-20,1203.18,0.000211
2003-02-21,1219.10,0.000225
2003-02-24,1196.71,0.000192
2003-02-25,1205.32,0.000239
2003-02-26,1189.98,0.000212
2003-02-27,1204.11,0.000237
2003-02-28,1209.71,0.000205
2003-03-03,1200.60,0.000185
2003-03-04,1182.17,0.000194
2003-03-05,1193.87,0.000228
2003-03-06,1182.82,0.000199
2003-03-07,1192.61,0.000212
2003-03-10,1161.85,0.000187
2003-03-11,1152.15,0.000267
2003-03-12,1157.61,0.000277
2003-03-13,1197.56,0.000251
2003-03-14,1199.55,0.000219
2003-03-17,1242.09,0.000203
2003-03-18,1247.39,0.000184
2003-03-19,1258.37,0.000167
2003-03-20,1260.76,0.000145
2003-03-21,1289.74,0.000135
2003-03-24,1244.31,0.000117
2003-03-25,1259.44,0.000239
2003-03-26,1252.59,0.000206
2003-03-27,1250.71,0.000208
2003-03-28,1243.51,0.000200
2003-03-31,1221.46,0.000203
2003-04-01,1236.30,0.000248
2003-04-02,1268.82,0.000214
2003-04-03,1262.43,0.000182
2003-04-04,1265.90,0.000184
2003-04-07,1267.48,0.000169
2003-04-08,1265.57,0.000158
2003-04-09,1247.99,0.000153
2003-04-10,1256.04,0.000181
2003-04-11,1251.40,0.000161
2003-04-14,1275.82,0.000160
2003-04-15,1283.96,0.000136
2003-04-16,1268.28,0.000120
2003-04-17,1287.99,0.000143
2003-04-21,1285.72,0.000121
2003-04-22,1313.63,0.000118
2003-04-23,1324.68,0.000103
2003-04-24,1313.75,0.000089
2003-04-25,1295.57,0.000101
2003-04-28,1318.85,0.000128
2003-04-29,1323.26,0.000109
2003-04-30,1322.07,0.000099
2003-05-01,1321.39,0.000096
2003-05-02,1341.28,0.000092
2003-05-05,1336.24,0.000079
2003-05-06,1347.54,0.000081
2003-05-07,1340.87,0.000071
2003-05-08,1327.42,0.000075
2003-05-09,1346.68,0.000091
2003-05-12,1363.61,0.000078
2003-05-13,1359.74,0.000067
2003-05-14,1355.76,0.000068
2003-05-15,1366.58,0.000070
2003-05-16,1363.32,0.000061
2003-05-19,1329.38,0.000062
2003-05-20,1327.87,0.000124
2003-05-21,1333.33,0.000120
2003-05-22,1345.53,0.000108
2003-05-23,1347.49,0.000093
2003-05-27,1373.86,0.000087
2003-05-28,1376.57,0.000077
